46,22
"-28",-17
"-26",3
24,33
32,-41
"-31",36
38,25
"-45",-1
40,8
24,-35
"-13",-41
30,12
"-6",-25
6,-3
"-29",-31
"-2",11
"-13",-20
"-21",-46
"-7",-47
9,30
32,23
40,1
8,-26
14,-8
35,-18
42,-26
48,48
"-4",-40
"-13",18
35,-33
"-42",-7
"-9",-5
4,-17
"-9",2
32,9
44,32
"-21",-49
38,28
"-22",-16
50,-49
1,-42
34,17
"-46",4
47,14
9,49
37,-24
23,-36
19,35
37,-31
"-32",1
"-25",50
"-49",3
"-14",-31
16,-1
"-42",31
"-23",-35
30,-32
49,-17
29,20
"-45",39
11,-13
"-41",-31
"-31",-49
39,-36
18,30
29,-14
32,-43
"-45",-28
19,26
46,26
38,-41
"-32",-37
22,39
49,27
36,17
"-32",40
"-5",46
"-40",-9
31,4
"-41",-4
44,-13
"-11",-43
"-20",3
27,45
"-35",25
13,28
"-46",11
4,-14
"-3",-4
"-6",-28
39,42
"-44",29
27,-9
"-17",-28
"-49",50
"-45",22
10,-22
"-21",-16
48,1
"-20",14
"-48",47
"-8",22
3,-5
47,-46
"-13",17
"-34",17
"-10",10
28,-25
24,22
13,-13
27,24
9,28
40,-35
47,44
"-36",-33
47,-29
41,-18
"-29",-31
"-2",-23
"-29",41
7,19
39,6
32,-2
17,7
"-31",-29
"-10",47
"-28",18
"-37",-24
7,-16
2,13
9,16
21,-8
40,20
"-36",3
8,-29
"-27",-16
38,-18
28,23
"-33",8
49,-6
"-36",37
"-21",-10
"-15",-34
"-46",-44
"-33",-5
"-31",16
9,-40
12,2
"-36",-7
49,33
"-40",3
9,-3
23,-1
"-3",-27
45,-34
"-45",43
"-24",-12
11,-19
"-39",-20
"-45",15
"-25",-6
"-46",-18
5,5
39,23
"-10",10
15,-18
0,29
41,48
4,4
33,-33
22,-50
"-31",-39
"-6",23
"-11",-44
33,16
"-45",23
3,-50
"-49",-22
"-31",49
"-35",34
"-33",23
"-36",34
37,39
"-29",-49
19,-17
"-26",-42
"-9",5
25,40
17,49
4,-28
"-50",28
"-17",-49
13,35
"-42",-8
"-10",-7
38,-11
"-5",8
"-47",-48
36,18
"-48",-10
30,41
27,-44
50,-34
44,-5
"-43",14
42,-20
50,-49
21,33
39,29
6,-40
49,-3
2,-2
31,45
"-27",27
4,30
"-29",-13
"-1",14
48,4
48,-42
"-39",21
33,21
"-8",-8
24,15
"-31",-39
"-50",42
"-45",-5
28,30
"-4",41
24,-14
11,-10
"-34",-41
17,41
21,-6
"-43",-12
46,47
29,-36
35,-8
15,-40
48,32
"-18",24
19,-2
6,-8
43,-50
"-18",-32
43,26
"-36",45
"-50",-48
41,4
3,49
"-32",-18
"-28",3
49,32
"-4",-18
"-47",-20
21,-7
30,45
37,26
"-31",-50
3,23
20,46
14,-19
21,46
"-11",-17
"-11",7
47,45
29,-8
17,1
16,23
"-42",-3
"-11",-23
"-15",-5
43,-25
25,17
25,12
16,26
1,-38
45,-33
29,47
"-10",4
44,41
17,-36
"-43",37
"-3",-17
"-44",-40
49,-18
39,21
12,-15
"-18",47
"-42",-11
19,6
45,-33
15,-34
29,45
9,22
8,-33
44,49
48,28
1,-43
"-5",23
20,-8
43,-20
20,-23
"-41",15
"-47",-44
30,13
46,-8
"-35",-24
"-42",-4
"-42",6
31,-24
27,13
"-19",-4
1,21
"-45",3
"-16",32
24,-16
26,-39
29,-10
3,-30
34,35
"-45",40
"-38",-8
7,36
"-32",-7
10,-7
"-25",-46
7,-5
41,-29
"-18",-40
"-45",32
"-48",-23
"-45",-15
"-50",-9
41,2
35,-35
49,47
"-23",-21
"-26",11
45,29
10,23
"-16",17
"-14",47
47,26
25,-50
24,-47
26,29
47,-4
"-28",-35
"-21",-49
15,30
"-10",-10
"-49",-42
"-1",-46
"-18",-12
"-37",-8
"-49",6
2,19
"-46",18
"-14",15
"-39",17
1,42
50,-25
41,-31
"-50",37
15,-16
"-13",25
26,-38
10,47
3,-47
"-14",21
47,24
21,1
19,17
"-20",10
"-19",-25
4,-31
"-19",7
41,-37
31,-22
36,-33
22,-37
2,43
"-39",-23
15,-8
21,-40
"-3",2
33,5
12,-48
28,-19
25,-30
2,-49
1,-10
0,39
"-6",12
"-29",-16
14,23
13,-6
"-15",-27
1,-46
44,-33
"-34",-17
"-26",44
"-32",8
50,-26
"-12",-36
13,11
6,8
22,-33
0,36
24,30
29,-27
"-18",24
29,23
"-26",13
8,-33
"-37",27
44,9
"-49",50
8,40
"-31",-23
"-27",-24
"-28",45
"-6",-47
"-18",43
37,-27
14,-3
"-33",31
"-41",41
18,-7
"-23",-37
"-5",45
"-40",-47
13,48
"-38",-48
45,-22
20,43
3,38
"-37",50
"-29",30
23,-16
"-22",-11
"-25",50
14,39
"-38",-34
"-19",20
"-5",-47
25,48
"-20",-25
42,-37
"-3",44
"-49",11
5,45
"-49",-36
6,-25
11,-20
"-14",49
3,12
"-24",-37
"-42",45
32,-6
26,-23
41,6
"-22",-10
"-26",-28
"-14",-3
"-43",-1
"-45",19
"-17",17
12,-24
45,25
50,-29
29,48
"-16",-9
"-12",22
"-15",-10
8,-20
4,39
3,29
19,25
15,8
"-45",45
9,-36
"-10",14
"-9",-35
4,-13
"-36",42
8,17
"-43",37
1,46
"-7",-49
2,-4
"-4",-44
"-18",-48
"-10",-27
"-24",28
"-26",-37
21,8
3,-24
20,31
49,-49
"-43",34
"-13",-40
"-23",-29
39,-45
40,-26
"-12",-23
0,26
3,42
50,-16
40,-15
23,47
4,-37
1,27
18,44
